model,feature,importance,importance_norm
xgboost,total_unq,0.0034119028132408857,0.0034119026472122283
xgboost,secs_per_active_day,0.003394915722310543,0.003394915557108505
xgboost,spend_per_sec,0.003389578778296709,0.003389578613354375
xgboost,secs_decay_14d,0.0033881566487252712,0.0033881564838521405
xgboost,listen_events_total,0.003377883229404688,0.003377883065031478
xgboost,total_50,0.003372585866600275,0.0033725857024848433
xgboost,listen_decay_90d,0.003334430046379566,0.003334429884120858
xgboost,registration_year,0.003332307329401374,0.00333230716724596
xgboost,total_985,0.0033180443570017815,0.003318044195540427
xgboost,mean_unq,0.003299830248579383,0.003299830088004356
xgboost,total_25,0.003263739636167884,0.003263739477349084
xgboost,mean_completion_rate,0.00325994030572474,0.003259940147090822
xgboost,secs_decay_90d,0.003249742789193988,0.003249742631056297
xgboost,listen_completion_share,0.0032438605558127165,0.0032438603979612645
xgboost,total_75,0.0032301899045705795,0.0032301897473843637
xgboost,mean_secs,0.0031925311777740717,0.0031925310224203895
xgboost,events_per_active_day,0.003119752276688814,0.00311975212487667
xgboost,bd_clean,0.003091460559517145,0.0030914604090817215
xgboost,listen_unique_share,0.003002067329362035,0.003002067183276629
xgboost,completion_rate,0.0029819710180163383,0.002981970872908851
xgboost,gender_clean,0.002927071414887905,0.0029270712724519202
xgboost,last_expire_date_missing,0.002895902842283249,0.002895902701363977
xgboost,registration_dayofweek,0.0028716553933918476,0.002871655253652495
xgboost,recent_transaction_14d,0.002245093695819378,0.0022450935865695218
xgboost,recent_usage_90d,0.0017502285772934556,0.0017502284921245288
xgboost,profile_completeness,0.001465909881517291,0.0014659098101837676
xgboost,recent_transaction_90d,0.001038269721902907,0.0010382696713790388
xgboost,bd_missing,0.0,0.0
xgboost,recent_usage_flag,0.0,0.0
xgboost,registered_via_missing,0.0,0.0
